T,seed,L,Y,YoverT,sqrtMI,absRI,xm1,birth,Smax,Nv,eta
1.13,6,64,-0.057835,-0.051181,0.056739,0.003967,3.25807,0.115618,2.4667,0.024913,2.0377
1.135,6,64,0.331929,0.292449,0.091073,0.0050637,3.034,0.121851,2.4417,0.025574,1.3379
1.14,6,64,0.267064,0.234266,0.102715,0.0071169,3.51544,0.116093,2.4417,0.025279,1.1302
1.145,6,64,0.310966,0.271586,0.104607,0.0080741,4.0956,0.124167,2.5167,0.026961,1.187
1.15,6,64,0.350495,0.304778,0.091629,0.0073959,3.87851,0.128613,2.55,0.02724,1.4036
1.155,6,64,0.154663,0.133907,0.073173,0.0066077,3.74621,0.130593,2.5083,0.02816,1.7847
1.16,6,64,-0.022577,-0.019463,0.050018,0.0054436,3.95282,0.131705,2.575,0.028322,2.6331
1.165,6,64,0.164763,0.141427,0.031348,0.0041785,3.03844,0.129939,2.675,0.029008,4.145
1.17,6,64,0.23929,0.204521,0.022815,0.0032496,2.68444,0.135681,2.625,0.029449,5.9469
1.175,6,64,0.132425,0.112702,0.015596,0.002435,3.54209,0.133341,2.6333,0.03019,8.5495
1.18,6,64,0.347674,0.294639,0.012755,0.0021251,2.3101,0.140376,2.8,0.030868,11.0056
1.185,6,64,0.278484,0.235008,0.016047,0.0022967,2.81031,0.139836,2.725,0.03151,8.7142
1.19,6,64,0.112131,0.094227,0.021078,0.00291,2.99932,0.140027,2.7833,0.032686,6.6431
1.195,6,64,0.414864,0.347167,0.024782,0.0034804,3.09205,0.149308,2.7333,0.032945,6.0248
1.2,6,64,0.231147,0.192622,0.032391,0.0045157,3.4939,0.148453,2.8333,0.033512,4.5832
1.205,6,64,0.052294,0.043398,0.04454,0.0054976,4.45136,0.14554,2.775,0.034013,3.2676
1.21,6,64,0.214686,0.177427,0.052215,0.0063272,3.13106,0.148183,2.8417,0.034644,2.8379
1.215,6,64,0.195766,0.161124,0.065532,0.0074463,3.65417,0.144793,2.7417,0.035527,2.2095
1.22,6,64,0.030161,0.024722,0.074264,0.0082015,3.85905,0.150691,2.9333,0.036025,2.0291
1.225,6,64,0.235936,0.192601,0.082902,0.0086886,3.89378,0.158551,2.9167,0.036664,1.9125
1.23,6,64,0.131707,0.107079,0.091113,0.009424,3.31367,0.159983,2.9417,0.037358,1.7559
1.235,6,64,0.021701,0.017572,0.105675,0.0099537,3.41317,0.161106,2.9417,0.038322,1.5246
1.24,6,64,0.320506,0.258473,0.111802,0.0103198,3.47596,0.157182,2.925,0.038892,1.4059
1.245,6,64,0.05079,0.040795,0.117177,0.0103742,2.86401,0.161235,2.9417,0.039052,1.376
1.25,6,64,0.150699,0.120559,0.119888,0.0105166,3.18233,0.168991,3.1417,0.040068,1.4096
1.255,6,64,0.064466,0.051367,0.120962,0.0108549,2.52139,0.174123,3.15,0.040666,1.4395
1.26,6,64,0.083243,0.066066,0.123854,0.0110592,2.5934,0.165268,3.125,0.041115,1.3344
1.265,6,64,0.104748,0.082804,0.139382,0.0115368,2.79869,0.171388,3.2417,0.041622,1.2296
1.27,6,64,-0.012372,-0.009742,0.133435,0.011762,3.02128,0.167037,3.0417,0.042415,1.2518
1.275,6,64,0.068203,0.053493,0.131066,0.0122237,2.71956,0.179527,3.1917,0.043644,1.3697
1.28,6,64,0.317827,0.248303,0.141284,0.0121723,2.68246,0.179191,3.3167,0.043958,1.2683
1.13,7,64,0.369635,0.32711,0.056617,0.0039214,3.73865,0.112621,2.4333,0.024514,1.9891
1.135,7,64,0.141733,0.124875,0.090765,0.0051258,3.28477,0.115756,2.3167,0.024913,1.2753
1.14,7,64,0.219499,0.192543,0.104067,0.0068494,3.04244,0.115283,2.4833,0.026337,1.1078
1.145,7,64,0.093336,0.081516,0.104388,0.0081261,3.47303,0.119343,2.4833,0.0262,1.1433
1.15,7,64,0.295967,0.257363,0.09535,0.007698,3.54761,0.122327,2.4833,0.027372,1.2829
1.155,7,64,0.163889,0.141896,0.067528,0.0067937,3.65775,0.128637,2.625,0.027413,1.9049
1.16,7,64,0.13702,0.118121,0.049704,0.0058296,3.10711,0.125856,2.6333,0.028719,2.5321
1.165,7,64,0.271699,0.233218,0.032082,0.0043525,3.5578,0.130057,2.6917,0.029016,4.0539
1.17,7,64,0.132154,0.112952,0.018921,0.0027611,3.47915,0.130951,2.7417,0.029474,6.9208
1.175,7,64,0.276437,0.235265,0.012744,0.0020803,2.56748,0.130647,2.6583,0.030098,10.252
1.18,7,64,0.314733,0.266723,0.011855,0.0019781,3.37267,0.132419,2.5583,0.030802,11.1694
1.185,7,64,0.18433,0.155553,0.0178,0.0028657,3.43032,0.1392,2.8167,0.032056,7.8201
1.19,7,64,0.061962,0.052069,0.024465,0.003751,3.59719,0.137475,2.7667,0.032495,5.6192
1.195,7,64,0.216182,0.180906,0.034362,0.0049182,3.68126,0.143485,2.8083,0.03347,4.1758
1.2,7,64,0.209572,0.174643,0.039986,0.0054726,2.92736,0.146811,2.8083,0.03399,3.6716
1.205,7,64,0.265297,0.220164,0.051048,0.0063692,3.05476,0.149544,2.825,0.034515,2.9294
1.21,7,64,0.201411,0.166455,0.062918,0.0072411,3.81451,0.153186,2.9,0.034526,2.4347
1.215,7,64,0.430408,0.354246,0.068243,0.0076108,3.41594,0.156299,2.8167,0.035905,2.2903
1.22,7,64,0.216322,0.177313,0.072468,0.0078835,4.05698,0.148441,2.9,0.036241,2.0484
1.225,7,64,0.010941,0.008932,0.079549,0.0085827,3.8947,0.155652,2.875,0.037052,1.9567
1.23,7,64,0.165791,0.13479,0.088054,0.0094745,4.50014,0.161399,3.0583,0.037506,1.833
1.235,7,64,0.196877,0.159414,0.095235,0.0099192,3.90864,0.158887,3.0333,0.038163,1.6684
1.24,7,64,0.256645,0.206972,0.105338,0.010157,3.63081,0.160019,2.9583,0.038466,1.5191
1.245,7,64,0.11235,0.090241,0.112444,0.010477,3.7291,0.16889,3.175,0.039878,1.502
1.25,7,64,0.303158,0.242527,0.114837,0.0107471,3.25505,0.167187,3.0333,0.040255,1.4559
1.255,7,64,0.1981,0.157849,0.113523,0.0108198,3.7181,0.157623,3.1417,0.040704,1.3885
1.26,7,64,-0.062713,-0.049772,0.122906,0.010594,4.25643,0.172351,3.2167,0.040769,1.4023
1.265,7,64,0.190981,0.150973,0.127928,0.0113101,3.43071,0.165498,3.0583,0.041233,1.2937
1.27,7,64,-0.012296,-0.009682,0.138031,0.0116068,3.34973,0.178152,3.2417,0.043091,1.2907
1.275,7,64,0.160598,0.125959,0.142811,0.0117905,4.25319,0.17998,3.0833,0.043199,1.2603
1.28,7,64,0.135279,0.105687,0.141259,0.0119405,3.40789,0.181314,3.4,0.043958,1.2836
1.13,8,64,0.390657,0.345714,0.059038,0.0037382,3.95016,0.120159,2.4833,0.024825,2.0353
1.135,8,64,0.243512,0.214548,0.09007,0.0051109,4.28176,0.120551,2.5417,0.025057,1.3384
1.14,8,64,0.034493,0.030257,0.115208,0.0071875,4.22252,0.117664,2.525,0.025909,1.0213
1.145,8,64,0.270012,0.235818,0.106852,0.0079841,3.36356,0.123814,2.6417,0.026811,1.1587
1.15,8,64,0.219633,0.190985,0.094609,0.007245,3.15179,0.121161,2.5083,0.02726,1.2807
