T,seed,L,Y,YoverT,sqrtMI,absRI,xm1,birth,Smax,Nv,eta
0.85,111,64,0.362938,0.426985,0.057026,0.0040811,3.34083,0.020029,1.1083,0.002663,0.3512
0.87,111,64,0.661121,0.75991,0.051261,0.0040826,3.79786,0.019757,1.1167,0.003074,0.3854
0.89,111,64,0.491334,0.55206,0.071053,0.0040781,3.84031,0.024934,1.175,0.003514,0.3509
0.91,111,64,0.532023,0.58464,0.083637,0.0042514,4.26062,0.031432,1.2667,0.004303,0.3758
0.93,111,64,0.392383,0.421918,0.061672,0.0043722,3.07125,0.02943,1.2917,0.005123,0.4772
0.95,111,64,0.486107,0.511692,0.078504,0.0049337,3.86677,0.0438,1.4583,0.006213,0.5579
0.97,111,64,0.351991,0.362877,0.077135,0.0051073,5.18964,0.056392,1.6083,0.007517,0.7311
0.99,111,64,0.453377,0.457957,0.075278,0.0056839,4.61343,0.060277,1.7333,0.008816,0.8007
1.01,111,64,0.243218,0.24081,0.107558,0.0060767,2.78999,0.063427,1.8083,0.010028,0.5897
1.03,111,64,0.448902,0.435827,0.114954,0.0071604,4.19205,0.073262,1.975,0.012315,0.6373
1.05,111,64,0.191508,0.182388,0.119113,0.0082835,2.93996,0.075357,1.9917,0.01393,0.6327
1.07,111,64,0.090534,0.084611,0.110022,0.0084592,2.89775,0.091859,2.1583,0.016246,0.8349
1.09,111,64,0.251213,0.23047,0.10043,0.0082072,4.46225,0.101857,2.25,0.019175,1.0142
1.11,111,64,0.199161,0.179424,0.083488,0.0076424,5.83799,0.10036,2.3917,0.021568,1.2021
1.13,111,64,0.253858,0.224653,0.059052,0.0069105,5.3861,0.117732,2.4083,0.024312,1.9937
1.15,111,64,0.109215,0.09497,0.037198,0.0049211,3.92954,0.124435,2.5083,0.026994,3.3453
1.17,111,64,0.147386,0.125971,0.027193,0.0039793,3.94241,0.139018,2.6333,0.029865,5.1123
1.19,111,64,0.205692,0.17285,0.018273,0.0029194,3.18028,0.142074,2.7917,0.032548,7.7751
1.21,111,64,0.300038,0.247965,0.011805,0.0021284,2.13846,0.154886,2.95,0.033995,13.1208
1.23,111,64,0.274623,0.223271,0.013584,0.0022279,2.62889,0.15855,2.9333,0.037174,11.6718
1.25,111,64,0.272084,0.217667,0.018917,0.00298,3.59277,0.164623,3.0667,0.039689,8.7023
1.27,111,64,0.189431,0.149159,0.030535,0.0045514,2.55802,0.178446,3.1583,0.042763,5.8441
1.29,111,64,0.32501,0.251946,0.039704,0.0056611,2.72273,0.186238,3.3417,0.044932,4.6907
1.31,111,64,0.153139,0.1169,0.050185,0.0065306,3.54608,0.190651,3.225,0.047213,3.799
1.33,111,64,0.036913,0.027754,0.063726,0.0076423,4.02244,0.19502,3.325,0.049373,3.0603
1.35,111,64,0.190572,0.141165,0.073036,0.0083699,3.04474,0.205136,3.3917,0.052356,2.8087
1.37,111,64,0.028329,0.020678,0.081928,0.0089386,4.01603,0.205521,3.7083,0.053739,2.5085
1.39,111,64,0.138962,0.099973,0.092801,0.009487,4.62218,0.216795,3.525,0.056287,2.3361
1.41,111,64,0.133777,0.094877,0.101421,0.0098984,5.21434,0.219138,3.7167,0.058639,2.1607
1.43,111,64,0.174394,0.121954,0.110275,0.0099433,6.07666,0.225148,3.8083,0.060927,2.0417
1.45,111,64,0.271855,0.187486,0.12005,0.0107579,3.68915,0.238769,3.9583,0.062742,1.9889
1.47,111,64,0.093777,0.063794,0.128501,0.0111645,3.7746,0.247764,3.9833,0.065053,1.9281
1.49,111,64,0.151019,0.101355,0.134152,0.011234,4.20676,0.248416,4.0667,0.067267,1.8518
1.51,111,64,0.145083,0.096082,0.148944,0.011333,3.56016,0.257668,4.2417,0.068953,1.73
1.53,111,64,0.109323,0.071453,0.156284,0.0119796,3.35467,0.260247,4.1833,0.07087,1.6652
1.55,111,64,0.029619,0.019109,0.156394,0.0115009,2.88984,0.263887,4.1417,0.072137,1.6873
1.57,111,64,0.156452,0.099651,0.158067,0.0118737,3.86331,0.27137,4.4667,0.075033,1.7168
1.59,111,64,0.177541,0.111661,0.142882,0.012221,3.94389,0.275745,4.3417,0.077319,1.9299
1.61,111,64,0.178778,0.111042,0.137265,0.0120643,4.54727,0.277179,4.35,0.078237,2.0193
0.85,222,64,0.086301,0.10153,0.05757,0.0040441,2.82163,0.024335,1.15,0.002799,0.4227
0.87,222,64,-0.262135,-0.301304,0.053109,0.0041257,2.6821,0.023425,1.175,0.003276,0.4411
0.89,222,64,-0.225091,-0.252912,0.070205,0.0043374,2.79686,0.029458,1.2,0.003625,0.4196
0.91,222,64,0.250424,0.275191,0.064335,0.0044703,3.29984,0.029109,1.2667,0.004472,0.4525
0.93,222,64,-0.392512,-0.422056,0.072812,0.0045365,3.32382,0.042931,1.3917,0.005385,0.5896
0.95,222,64,-0.645904,-0.679899,0.074884,0.0049043,3.70075,0.044169,1.5083,0.006425,0.5898
0.97,222,64,0.297568,0.306771,0.075891,0.0051334,4.00476,0.049649,1.5917,0.007436,0.6542
0.99,222,64,0.289835,0.292762,0.088226,0.006006,3.39663,0.057502,1.6917,0.00906,0.6518
1.01,222,64,0.278694,0.275935,0.086185,0.0065167,3.63264,0.065748,1.85,0.010498,0.7629
1.03,222,64,0.410354,0.398402,0.094277,0.0074571,3.24798,0.07407,2.0,0.012498,0.7857
1.05,222,64,0.48411,0.461057,0.106425,0.0074322,3.1895,0.077612,2.05,0.014854,0.7293
1.07,222,64,0.177145,0.165556,0.10899,0.0080688,3.32354,0.096518,2.1833,0.016823,0.8856
1.09,222,64,0.15552,0.142679,0.096289,0.0080275,2.7296,0.102801,2.3583,0.019519,1.0676
1.11,222,64,0.017875,0.016104,0.087333,0.0075149,3.92621,0.11001,2.4,0.022015,1.2597
1.13,222,64,0.163744,0.144907,0.070267,0.0070687,3.35209,0.118851,2.5333,0.024443,1.6914
1.15,222,64,0.447402,0.389045,0.045849,0.0054653,2.58797,0.121692,2.5333,0.027474,2.6542
1.17,222,64,0.241629,0.206521,0.02928,0.00392,2.92863,0.139493,2.7583,0.030035,4.7642
1.19,222,64,0.175618,0.147578,0.017875,0.0027835,2.71768,0.149965,2.6833,0.032355,8.3894
1.21,222,64,0.355353,0.29368,0.012067,0.0020597,2.51316,0.148892,2.8667,0.035,12.3388
1.23,222,64,0.021068,0.017129,0.015659,0.0024577,3.4028,0.160905,2.9,0.037351,10.2757
1.25,222,64,0.13065,0.10452,0.023658,0.0035294,2.93574,0.166202,3.0417,0.040651,7.0253
1.27,222,64,0.275668,0.217061,0.03381,0.0046876,2.48122,0.17879,3.2333,0.042212,5.2881
1.29,222,64,-0.035994,-0.027903,0.042812,0.0055247,2.91768,0.183391,3.2417,0.044906,4.2836
1.31,222,64,0.149077,0.113799,0.053712,0.0061242,4.14923,0.19203,3.325,0.047329,3.5752
1.33,222,64,0.09664,0.072662,0.065452,0.0073524,4.30779,0.198126,3.35,0.050319,3.0271
